2025-07-13 15:57:11 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=info от 127.0.0.1
2025-07-13 16:18:53 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/admin/create от 127.0.0.1
2025-07-13 16:19:05 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/admin/create от 127.0.0.1
2025-07-13 16:19:11 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/admin/create от 127.0.0.1
2025-07-13 16:24:27 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/test?notification_type=info от 127.0.0.1
2025-07-13 16:24:33 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/test?notification_type=warning от 127.0.0.1
2025-07-13 16:24:37 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/test?notification_type=error от 127.0.0.1
2025-07-13 16:44:18 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=9
2025-07-13 16:44:42 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=10
2025-07-13 16:44:50 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=10
2025-07-13 16:46:15 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=warning от 127.0.0.1
2025-07-13 16:46:16 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=info от 127.0.0.1
2025-07-13 16:46:17 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=error от 127.0.0.1
2025-07-13 16:46:18 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=success от 127.0.0.1
2025-07-13 16:46:19 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=info от 127.0.0.1
2025-07-13 16:46:19 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=warning от 127.0.0.1
2025-07-13 16:46:19 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=error от 127.0.0.1
2025-07-13 16:46:19 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=success от 127.0.0.1
2025-07-13 16:46:20 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://127.0.0.1:8000/notifications/test?notification_type=info от 127.0.0.1
2025-07-13 16:48:50 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=11
2025-07-13 16:50:09 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=11
2025-07-13 16:54:53 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=11
2025-07-13 16:55:01 | SECURITY | WARNING  | app.middleware.security | XSS попытка в запросе: http://127.0.0.1:8000/support/send-message?session_id=12
2025-07-13 16:57:37 | SECURITY | WARNING  | app.middleware.security | Подозрительный запрос: http://localhost:8000/notifications/test?notification_type=error от 127.0.0.1
